medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
38E50730900AE2F4F2ABE518CCBBED70,13F4EE934905036077A115A777809C5B,VTS,1,,2013-02-01 16:56:00,2013-02-01 17:04:00,1,480,1.50,-73.986588,40.734173,-74.005074,40.728588
324873D5430A5892D28871ABEC3FFCDA,0F7E68B02972776B659FAEEB8C78B3E4,VTS,1,,2013-02-01 17:27:00,2013-02-01 17:42:00,1,900,1.40,-73.982269,40.768021,-73.989738,40.752342
EBAF059FA9FE6F082A50F4C09C362B5D,6204100D43CC7B90E24769035BC0B831,VTS,1,,2013-02-01 16:41:00,2013-02-01 17:00:00,4,1140,3.86,-73.953506,40.767082,-73.963531,40.803413
348D6EB1395F30486361304582231889,B391B47E5CFAA2498247F34C5B8FB8E9,VTS,1,,2013-02-01 17:30:00,2013-02-01 17:36:00,1,360,1.23,-73.989822,40.733971,-73.974205,40.732079
6486BE62B5A7A86C71C8244898697308,A4CE9BC0B8D09676BE46491AD378BF14,VTS,1,,2013-02-01 16:50:00,2013-02-01 17:01:00,1,660,1.33,0,0,0,0
2EF20126A74EC08C5DAFBDB13A9056A2,6DE852E7C3725A46F5967F2F93165DCD,VTS,1,,2013-02-01 17:56:00,2013-02-01 18:08:00,1,720,2.06,-73.981071,40.774239,-73.952507,40.766571
53E3477DE202FFE166D14DF1DEC95AA1,711384CE6D7675143E69A01A99EB4D23,VTS,1,,2013-02-01 17:10:00,2013-02-01 17:34:00,1,1440,3.59,-73.967979,40.771328,-74.005524,40.726501
8EE28DA9049CC06587FBBD00AFA9A221,AFB2CCDBF58CEFC7B5B05524A5112EA2,VTS,1,,2013-02-01 17:37:00,2013-02-01 17:57:00,5,1200,4.88,-74.005638,40.707222,-73.988525,40.746067
D1EE28871EEBF38B3945C52640E8DD63,1F524AD2B65DD5E6FA54FA894CB33EB2,VTS,1,,2013-02-01 17:48:00,2013-02-01 17:56:00,1,480,1.26,-73.980949,40.770081,-73.966629,40.770145
4241EAF272062B8DB62C39351EDBA25A,88BE2E0FF21B614B684F4F77724464F9,VTS,1,,2013-02-01 17:58:00,2013-02-01 18:02:00,1,240,.52,-73.958969,40.768291,-73.965858,40.767071
